policy,n_targeted,pct_targeted,expected_revenue,total_cost,expected_profit,roi,policy_value_ipw
target_all,486,100.0%,5091.795160602154,6186.780000000001,-4659.241451819355,-75.3%,538.2107307019012
target_none,0,0.0%,0.0,0.0,0.0,0.0%,448.2549037413957
cate_breakeven,152,31.3%,14536.90992959511,1934.96,2426.112978878533,125.4%,636.2713541310397
top_30,146,30.0%,14274.142589949337,1858.5800000000002,2423.662776984801,130.4%,629.3714186183774
risk_0,125,25.7%,9624.709255886384,1591.25,1296.1627767659152,81.5%,610.1859892993385
risk_50,55,11.3%,4174.396574897646,700.15,552.1689724692939,78.9%,621.743633810054
risk_100,45,9.3%,2251.560001659488,572.85,102.61800049784642,17.9%,457.5466633904769
tuned_tree,280,57.6%,15140.698185347606,3564.4,977.809455604282,27.4%,683.1801953678512
