group,mean_cate,actual_ate,ci_lower,ci_upper,n_treated,n_control
0,-787.7519970527994,996.8633333333332,804.6604105508871,1176.6589418650794,66,32
1,-193.1553770766393,476.82265980498374,390.07714598424354,575.0290268989487,71,26
2,-45.653887462114184,372.4956216216217,284.42320317741184,470.70423969914503,60,37
3,53.876750996659794,172.9658765957447,103.80954633936258,242.8637581556788,47,50
4,281.9935381012046,216.91293545534924,134.3274480609725,306.9354753032863,58,39
