Model,Category,AUUC,Qini_Coef
LinearDML,Main-DML,13.008911226994659,3584.021728332854
NonParamDML,Main-DML,12.673580177297037,4650.683627267492
X-Learner,Baseline,12.38695254160626,4602.020655773107
S-Learner,Baseline,9.951080770079074,4982.636110711201
T-Learner,Baseline,9.583281078044623,3286.1000899798446
CausalForestDML,Main-DML,8.269710007778496,3024.549737258854
CausalForest_GRF,Comparison,8.04048246065576,6699.106107831845
