method,estimate,se,ci_lower,ci_upper,n_obs
naive,471.4421144973136,15.142878720768314,441.7620722046077,501.12215679001946,2430
ipw,151.35115282429257,82.24400883052415,-9.847104483534764,312.5494101321199,2430
aipw,23.590426782293548,40.8513510542408,-56.47822128401842,103.65907484860551,2430
ols,65.27061651428731,18.70577098088444,28.607979088699324,101.9332539398753,2430
dml,-64.91797672482947,79.11740363635472,-219.98808785208473,90.15213440242577,2430
ato,60.26367635407672,37.696444710788654,-13.621355279069036,134.14870798722248,2430
