Scenario,N_Targeted,Pct_Targeted,Incremental_Sales,Revenue,Cost,Profit,ROI_pct
All-treat (100%),2430,100.0,-1319215.9095044807,-395764.7728513442,2430.0,-398194.7728513442,-16386.616166721986
None (Control),0,0.0,0.0,0.0,0.0,0.0,0.0
Random 50%,1215,50.0,-680777.1655496166,-204233.14966488496,1215.0,-205448.14966488496,-16909.31272962016
Top CATE 50%,1215,50.0,38550.97805888941,11565.293417666822,1215.0,10350.293417666822,851.8760014540595
Optimal (25%),607,25.0,158074.0084107229,47422.20252321687,607.0,46815.20252321687,7712.553957696353
