Method,ATE,SE,CI_Lower,CI_Upper
Baseline: NAIVE,471.4421144973136,15.142878720768314,441.7620722046077,501.12215679001946
Baseline: IPW,151.35115282429257,82.24400883052415,-9.847104483534764,312.5494101321199
Baseline: AIPW,23.590426782293548,40.8513510542408,-56.47822128401842,103.65907484860551
Baseline: OLS,65.27061651428731,18.70577098088444,28.607979088699324,101.9332539398753
Baseline: DML,-64.91797672482947,79.11740363635472,-219.98808785208473,90.15213440242577
Baseline: ATO,60.26367635407672,37.696444710788654,-13.621355279069036,134.14870798722248
Improved: TMLE,39.22685603150686,34.365062289421104,-28.12742838223408,106.5811404452478
Improved: PS Matching,40.84958904109587,46.70263264150907,-50.687570936261906,132.38674901845366
