Model,Category,Train_Mean,Test_Mean,Train_Std,Test_Std,Pct_Positive
S-Learner,Baseline,-22.157251613727894,-20.584346188785855,49.81862836340862,46.45057639103782,0.205761316872428
T-Learner,Baseline,-207.61566828396192,-200.10215536494806,422.735462841827,397.0560696328282,43.415637860082306
X-Learner,Baseline,-93.66351294345944,-95.57814264760296,200.5582536287267,207.9213888125838,38.477366255144034
LinearDML,Main-DML,-149.60380285078764,-139.47484841345803,468.77008617696254,452.33129278504384,41.76954732510288
CausalForestDML,Main-DML,17.270842041184437,14.970765485924023,51.05934508463128,52.148236781128794,77.9835390946502
NonParamDML,Main-DML,682271.6015021207,1146028.9824889868,8598843.728920566,10204173.663750919,63.78600823045267
CausalForest_GRF,Comparison,-63.1949519307753,-60.68983760886414,259.8904541712053,251.30577780647744,64.60905349794238
