Model,Mean CATE,Std,Min,Max
Baseline: s_learner,-0.4521971105037664,48.76606371810348,-168.04264571594922,105.04502782831543
Baseline: t_learner,-71.06617760892479,280.8215453860542,-1136.4183328226582,757.2602799306576
Baseline: x_learner,-20.862576018551305,147.98697600177925,-466.2590869634815,362.56119028119355
Baseline: linear_dml,-90.52332529163886,850.9155129244684,-7032.585221208433,6606.2450056100515
Baseline: causal_forest_dml,10.476944774901552,87.68269180646195,-327.5323153112102,355.16598015918396
Improved: GRF_V2,-60.85660259878476,230.39042733685037,-784.0378033531597,203.7416643571363
Improved: DR_Learner,-315.47228992366297,1912.3916443317953,-23966.79227249353,4184.562173395741
Improved: Ensemble,-31.109670574855333,136.29197929503505,-476.22858013187715,130.7912231647424
