Model,Category,AUUC,Qini_Coef
LinearDML,Main-DML,356.9818924141682,66553.8668464224
NonParamDML,Main-DML,304.3817929873993,107067.92066127984
S-Learner,Baseline,289.49172938354855,68887.32741739851
CausalForestDML,Main-DML,271.57372723441927,56413.955097430175
X-Learner,Baseline,218.49724789699175,47026.75939278002
T-Learner,Baseline,212.02012219538426,42250.260171573565
CausalForest_GRF,Comparison,42.172624674115184,31051.264145947312
