scenario,cost,margin,breakeven,n_targeted,pct_targeted,profit
Current,12.73,0.3,42.43333333333334,152,31.275720164609055,2426.112978878531
Margin drops to 25%,12.73,0.25,50.92,127,26.13168724279835,1726.1274543875634
Margin rises to 35%,12.73,0.35,36.371428571428574,175,36.0082304526749,3173.177179056821
Cost rises to $15,15.0,0.3,50.0,129,26.543209876543212,2106.685924890903
Cost drops to $10,10.0,0.3,33.333333333333336,193,39.711934156378604,2887.5675786047286
Worst case,15.0,0.25,60.0,105,21.604938271604937,1460.7548781763267
Best case,10.0,0.35,28.571428571428573,211,43.415637860082306,3702.2646896928063
