cost,margin,breakeven,n_targeted,pct_targeted,incremental_sales,revenue,cost_total,profit,roi
5.0,0.2,25.0,224,46.09053497942387,16953.25434798607,3390.650869597214,1120.0,2270.650869597214,2.027366847854655
5.0,0.25,20.0,245,50.41152263374485,17424.106251767193,4356.026562941798,1225.0,3131.026562941798,2.5559400513810595
5.0,0.3,16.666666666666668,258,53.086419753086425,17668.20385886639,5300.461157659916,1290.0,4010.4611576599164,3.1088846183410204
5.0,0.35,14.285714285714286,261,53.70370370370371,17712.83490205231,6199.492215718308,1305.0,4894.492215718308,3.7505687476768643
5.0,0.4,12.5,272,55.96707818930041,17857.943248035604,7143.177299214242,1360.0,5783.177299214242,4.252336249422237
10.0,0.2,50.0,129,26.543209876543212,13472.286416303012,2694.4572832606027,1290.0,1404.4572832606027,1.0887265761710099
10.0,0.25,40.0,157,32.30452674897119,14742.970611183573,3685.7426527958933,1570.0,2115.7426527958933,1.3476067852203142
10.0,0.3,33.333333333333336,193,39.711934156378604,16058.558595349097,4817.567578604729,1930.0,2887.5675786047286,1.4961490044584087
10.0,0.35,28.571428571428573,211,43.415637860082306,16606.470541979448,5812.264689692806,2110.0,3702.2646896928063,1.7546278150202874
10.0,0.4,25.0,224,46.09053497942387,16953.25434798607,6781.301739194428,2240.0,4541.301739194428,2.027366847854655
12.73,0.2,63.65,93,19.1358024691358,11395.039604309684,2279.007920861937,1183.89,1095.1179208619367,0.9250166154473275
12.73,0.25,50.92,127,26.13168724279835,13371.349817550257,3342.8374543875643,1616.71,1726.1274543875643,1.0676790855425922
12.73,0.3,42.43333333333334,152,31.275720164609055,14536.909929595107,4361.072978878532,1934.96,2426.112978878532,1.2538310760318208
12.73,0.35,36.371428571428574,175,36.0082304526749,15431.22051159092,5400.927179056822,2227.75,3173.177179056822,1.424386568985219
12.73,0.4,31.825,196,40.32921810699588,16157.833270577288,6463.133308230916,2495.08,3968.0533082309157,1.5903511343247174
15.0,0.2,75.0,75,15.432098765432098,10138.314493773898,2027.6628987547797,1125.0,902.6628987547797,0.8023670211153597
15.0,0.25,60.0,105,21.604938271604937,12143.019512705308,3035.754878176327,1575.0,1460.754878176327,0.9274634147151283
15.0,0.3,50.0,129,26.543209876543212,13472.286416303012,4041.685924890903,1935.0,2106.685924890903,1.0887265761710094
15.0,0.35,42.85714285714286,152,31.275720164609055,14536.909929595107,5087.918475358288,2280.0,2807.9184753582877,1.2315431909466175
15.0,0.4,37.5,168,34.5679012345679,15172.228047302928,6068.8912189211715,2520.0,3548.8912189211715,1.40829016623856
20.0,0.2,100.0,39,8.024691358024691,6999.528971123998,1399.9057942247998,780.0,619.9057942247998,0.7947510182369228
20.0,0.25,80.0,68,13.991769547325102,9596.581667562585,2399.145416890646,1360.0,1039.1454168906462,0.7640775124195928
20.0,0.3,66.66666666666667,88,18.106995884773664,11067.183169969005,3320.1549509907013,1760.0,1560.1549509907013,0.8864516766992621
20.0,0.35,57.142857142857146,113,23.25102880658436,12609.777033574406,4413.421961751042,2260.0,2153.4219617510416,0.9528415759960361
20.0,0.4,50.0,129,26.543209876543212,13472.286416303012,5388.914566521205,2580.0,2808.9145665212054,1.0887265761710099
