method,estimate,se,ci_lower,ci_upper,n_obs
naive,15.335887207990154,0.5564954841479257,14.24515605906022,16.426618356920088,2430
ipw,5.61760392024607,2.7570113439790944,0.21386168604704547,11.021346154445094,2430
aipw,1.451930967615759,1.2324888313199915,-0.9637471417714245,3.8676090770029425,2430
ols,3.0626643827798183,0.6890688787647576,1.7121141975334966,4.41321456802614,2430
dml,-4.97149697965645,3.444066318452112,-11.721866963822588,1.7788730045096903,2430
ato,4.233104258293427,1.6565541947702525,0.9862580365437319,7.479950480043121,2430
