group,mean_cate,actual_ate,ci_lower,ci_upper,n_treated,n_control
0,-19.763698854911134,23.58275058275058,18.503455581157194,28.322509628388882,65,33
1,-5.536078838582492,11.833630686886707,7.497101360392508,16.195298875814274,59,38
2,-1.1123132772545918,14.288048552754434,11.225985951390589,17.789143832478008,63,34
3,2.431512803316416,8.329026701119725,5.0626809885095385,11.542551020408165,54,43
4,9.427312839477386,20.25728597449909,12.507513661202186,29.73320070733864,61,36
